PDB_ID,TITLE,RESOLUTION,R_FACTOR,R_FACTOR_W,HELIX,STRAND,n_SEQSTR,n_SEQRES,n_SEQAF,n_SEQDIFF,pLDDT_global,uniprot.id,csm.af.id,csm.rcsb.id
1TP6,1.5 A Crystal Structure of a NTF-2 Like Protein of Unknown Function PA1314 from Pseudomonas aeruginosa,1.5,0.195,0.185,28,47,126,128,128,2,97.23,Q9I430,AF-Q9I430-F1-model_v4,AF_AFQ9I430F1
1TQG,CheA phosphotransferase domain from Thermotoga maritima,0.98,0.1794,0.1794,84,0,105,105,671,566,84.92,Q56310,AF-Q56310-F1-model_v4,AF_AFQ56310F1
1TU9,"Crystal Structure of a Protein PA3967, a Structurally Highly Homologous to a Human Hemoglobin, from Pseudomonas aeruginosa PAO1",1.2,0.164,0.16118,72,0,131,134,130,1,98.05,Q9HX49,AF-Q9HX49-F1-model_v4,AF_AFQ9HX49F1
1TUA,1.5 A Crystal Structure of a Protein of Unknown Function APE0754 from Aeropyrum pernix,1.5,0.208,0.208,61,18,189,191,195,6,95.51,Q9YE16,AF-Q9YE16-F1-model_v4,AF_AFQ9YE16F1
1TUK,Crystal structure of liganded type 2 non specific lipid transfer protein from wheat,1.12,0.138,0.137,64,0,67,67,96,29,84.21,P82900,AF-P82900-F1-model_v4,AF_AFP82900F1
1TZV,"T. maritima NusB, P3121, Form 1",1.35,0.199,0.199,73,0,141,142,142,1,96.25,Q9X286,AF-Q9X286-F1-model_v4,AF_AFQ9X286F1
1UAI,Crystal Structure of the Alginate Lyase from Corynebacterium sp.,1.2,0.17,0.17,3,53,223,224,256,33,97.84,Q9RB42,AF-Q9RB42-F1-model_v4,AF_AFQ9RB42F1
1UAS,Crystal structure of rice alpha-galactosidase,1.5,0.16,0.16,30,25,362,362,417,55,98.59,Q9FXT4,AF-Q9FXT4-F1-model_v4,AF_AFQ9FXT4F1
1UG6,Structure of beta-glucosidase at atomic resolution from thermus thermophilus HB8,0.99,0.122,0.121,42,18,426,431,431,5,97.69,Q8GEB3,AF-Q8GEB3-F1-model_v4,AF_AFQ8GEB3F1
1UI0,Crystal Structure Of Uracil-DNA Glycosylase From Thermus Thermophilus HB8,1.5,0.183,0.183,47,12,192,205,205,13,97.19,Q5SKC5,AF-Q5SKC5-F1-model_v4,AF_AFQ5SKC5F1
1UOY,The bubble protein from Penicillium brevicompactum Dierckx exudate.,1.5,0.164,0.164,5,39,64,64,64,0,90.18,P83799,AF-P83799-F1-model_v4,AF_AFP83799F1
1US5,PUTATIVE GLUR0 LIGAND BINDING CORE WITH L-GLUTAMATE,1.5,0.184,0.184,37,23,298,314,314,16,96.64,P83817,AF-P83817-F1-model_v4,AF_AFP83817F1
1UTG,REFINEMENT OF THE C2221 CRYSTAL FORM OF OXIDIZED UTEROGLOBIN AT 1.34 ANGSTROMS RESOLUTION,1.34,0.23,NA,76,0,70,70,91,21,95.11,P02779,AF-P02779-F1-model_v4,AF_AFP02779F1
1UV4,Native Bacillus subtilis Arabinanase Arb43A,1.5,0.169,0.167,3,53,291,293,323,32,98.29,P94522,AF-P94522-F1-model_v4,AF_AFP94522F1
1V2X,TrmH,1.5,0.225,0.225,45,19,191,194,194,3,91.83,Q5SM16,AF-Q5SM16-F1-model_v4,AF_AFQ5SM16F1
1V30,Crystal Structure Of Uncharacterized Protein PH0828 From Pyrococcus horikoshii,1.4,0.217,0.217,22,43,118,124,116,2,96.74,O58558,AF-O58558-F1-model_v4,AF_AFO58558F1
1V70,Crystal Structure of probable antibiotics synthesis protein from Thermus thermophilus HB8,1.3,0.204,0.203,4,52,105,105,105,0,97.66,Q5SM39,AF-Q5SM39-F1-model_v4,AF_AFQ5SM39F1
1VBW,Crystal Structure of Bitter Gourd Trypsin Inhibitor,0.93,0.114,0.114,21,26,68,68,68,0,95.19,Q7M1Q1,AF-Q7M1Q1-F1-model_v4,AF_AFQ7M1Q1F1
1VE1,Crystal Structure of T.th. HB8 O-acetylserine sulfhydrylase,1.45,NA,0.22,42,18,302,304,304,2,96.58,Q5SLE6,AF-Q5SLE6-F1-model_v4,AF_AFQ5SLE6F1
1VLB,STRUCTURE REFINEMENT OF THE ALDEHYDE OXIDOREDUCTASE FROM DESULFOVIBRIO GIGAS AT 1.28 A,1.28,0.148,0.145,33,23,907,907,907,0,98.19,Q46509,AF-Q46509-F1-model_v4,AF_AFQ46509F1
1W0N,Structure of uncomplexed Carbohydrate Binding Domain CBM36,0.8,0.129,0.129,2,63,120,131,635,515,94.01,P45796,AF-P45796-F1-model_v4,AF_AFP45796F1
1W2L,Cytochrome c domain of caa3 oxygen oxidoreductase,1.3,0.1423,NA,41,8,97,99,316,219,92.1,Q9F3S9,AF-Q9F3S9-F1-model_v4,AF_AFQ9F3S9F1
1WBE,X-ray structure of bovine GLTP,1.36,0.186,0.184,66,1,204,209,209,5,97,P68265,AF-P68265-F1-model_v4,AF_AFP68265F1
1WC2,"Beta-1,4-D-endoglucanase Cel45A from blue mussel Mytilus edulis at 1.2A",1.2,0.147,0.147,13,29,180,181,181,1,96.91,P82186,AF-P82186-F1-model_v4,AF_AFP82186F1
1WCK,"Crystal structure of the C-terminal domain of BclA, the major antigen of the exosporium of the Bacillus anthracis spore.",1.36,0.179,0.179,0,60,136,220,445,309,95.42,Q83WB0,AF-Q83WB0-F1-model_v4,AF_AFQ83WB0F1
1WCW,"Crystal Structure of Uroporphyrinogen III Synthase from an Extremely Thermophilic Bacterium Thermus thermophilus HB8 (Wild type, Native, Form-1 crystal)",1.3,NA,0.188,49,20,254,261,253,1,93.54,Q5SKH2,AF-Q5SKH2-F1-model_v4,AF_AFQ5SKH2F1
1WHI,RIBOSOMAL PROTEIN L14,1.5,0.189,0.189,8,38,122,122,122,0,96.37,P04450,AF-P04450-F1-model_v4,AF_AFP04450F1
1WLU,Crystal structure of TT0310 protein from Thermus thermophilus HB8,1.45,0.188,0.188,21,50,117,136,136,19,97.88,Q5SJP3,AF-Q5SJP3-F1-model_v4,AF_AFQ5SJP3F1
1WM3,Crystal structure of human SUMO-2 protein,1.2,0.122,0.119,15,33,72,72,95,23,91.97,P61956,AF-P61956-F1-model_v4,AF_AFP61956F1
1WMD,"Crystal Structure of alkaline serine protease KP-43 from Bacillus sp. KSM-KP43 (1.30 angstrom, 100 K)",1.3,0.134,NA,21,26,434,434,640,206,95.05,Q93UV9,AF-Q93UV9-F1-model_v4,AF_AFQ93UV9F1
1WN2,Crystal structure of project ID PH1539 from Pyrococcus horikoshii OT3,1.2,0.193,0.193,44,26,118,121,121,3,96.38,O74017,AF-O74017-F1-model_v4,AF_AFO74017F1
1WPA,1.5 Angstrom crystal structure of human occludin fragment 413-522,1.5,0.24,0.237,83,0,107,114,522,415,91.52,Q16625,AF-Q16625-F1-model_v4,AF_AFQ16625F1
1WVF,p-Cresol Methylhydroxylase: Alteration of the Structure of the Flavoprotein Subunit upon its Binding to the Cytochrome Subunit,1.3,NA,0.146,41,20,515,520,521,6,96.78,P09788,AF-P09788-F1-model_v4,AF_AFP09788F1
1X54,Crystal structure of asparaginyl-tRNA synthetase from Pyrococcus horikoshii complexed with asparaginyl-adenylate,1.45,0.16903,0.16783,35,28,434,434,434,0,95.83,O57980,AF-O57980-F1-model_v4,AF_AFO57980F1
1XEO,High Resolution Crystals Structure of Cobalt- Peptide Deformylase Bound To Formate,1.3,0.2,0.2,36,24,165,168,169,4,97.5,P0A6K3,AF-P0A6K3-F1-model_v4,AF_AFP0A6K3F1
1XMT,X-ray structure of gene product from arabidopsis thaliana at1g77540,1.15,0.149,0.1476,39,29,95,103,114,19,96.22,Q9CAQ2,AF-Q9CAQ2-F1-model_v4,AF_AFQ9CAQ2F1
1XNB,HIGH-RESOLUTION STRUCTURES OF XYLANASES FROM B. CIRCULANS AND T. HARZIANUM IDENTIFY A NEW FOLDING PATTERN AND IMPLICATIONS FOR THE ATOMIC BASIS OF THE CATALYSIS,1.49,0.165,0.165,5,62,185,185,213,28,98.26,P09850,AF-P09850-F1-model_v4,AF_AFP09850F1
1XPH,Structure of DC-SIGNR and a portion of repeat domain 8,1.41,0.17698,0.17613,24,29,139,150,399,260,94.21,Q9H2X3,AF-Q9H2X3-F1-model_v4,AF_AFQ9H2X3F1
1XQO,"Crystal structure of native Pa-AGOG, 8-oxoguanine DNA glycosylase from Pyrobaculum aerophilum",1.03,0.15889,0.15762,64,0,253,256,256,3,96.61,Q8ZVK6,AF-Q8ZVK6-F1-model_v4,AF_AFQ8ZVK6F1
1YD0,Crystal structure of the GIY-YIG N-terminal endonuclease domain of UvrC from Thermotoga maritima bound to its catalytic divalent cation: manganese,1.5,0.16761,0.16672,47,24,89,96,557,468,89.93,Q9WYA3,AF-Q9WYA3-F1-model_v4,AF_AFQ9WYA3F1
1YFQ,High resolution S. cerevisiae Bub3 mitotic checkpoint protein,1.1,0.152,0.152,4,49,342,342,341,1,93.46,P26449,AF-P26449-F1-model_v4,AF_AFP26449F1
1YII,Crystal Structures of Chicken Annexin V in Complex with Ca2+,1.42,0.1941,0.194,72,0,316,320,321,5,96.24,P17153,AF-P17153-F1-model_v4,AF_AFP17153F1
1YU5,Crystal Structure of the Headpiece Domain of Chicken Villin,1.4,0.194,0.192,52,0,67,67,826,759,83.52,P02640,AF-P02640-F1-model_v4,AF_AFP02640F1
1Z1S,Crystal Structure of Putative Isomerase PA3332 from Pseudomonas aeruginosa,1.49,0.17152,0.16778,27,39,136,163,141,5,96.71,Q9HYR3,AF-Q9HYR3-F1-model_v4,AF_AFQ9HYR3F1
1Z2N,"Inositol 1,3,4-trisphosphate 5/6-kinase complexed Mg2+/ADP",1.2,0.182,0.182,31,28,311,324,319,8,89.27,Q9XYQ1,AF-Q9XYQ1-F1-model_v4,AF_AFQ9XYQ1F1
1Z6N,1.5 A Crystal Structure of a Protein of Unknown Function PA1234 from Pseudomonas aeruginosa,1.5,0.19058,0.18902,54,14,166,167,167,1,97.73,Q9I4A4,AF-Q9I4A4-F1-model_v4,AF_AFQ9I4A4F1
1ZDY,Co-crystal structure of Orf2 an aromatic prenyl transferase from Streptomyces sp. strain CL190 complexed with TAPS,1.44,0.222,0.222,39,24,301,307,307,6,94.48,Q4R2T2,AF-Q4R2T2-F1-model_v4,AF_AFQ4R2T2F1
1ZEQ,1.5 A Structure of apo-CusF residues 6-88 from Escherichia coli,1.5,0.18622,0.18515,4,54,84,84,110,26,94.3,P77214,AF-P77214-F1-model_v4,AF_AFP77214F1
1ZHX,Structure of yeast oxysterol binding protein Osh4 in complex with 25-hydroxycholesterol,1.5,0.22,0.22,31,28,436,438,434,2,91.68,P35844,AF-P35844-F1-model_v4,AF_AFP35844F1
1ZZK,Crystal Structure of the third KH domain of hnRNP K at 0.95A resolution,0.95,0.124,0.119,45,25,80,82,463,383,83.88,P61978,AF-P61978-F1-model_v4,AF_AFP61978F1
2B5H,1.5 A Resolution Crystal Structure of Recombinant R. Norvegicus Cysteine Dioxygenase,1.5,0.182,0.182,17,35,186,200,200,14,97.11,P21816,AF-P21816-F1-model_v4,AF_AFP21816F1
2C2U,Dps from Deinococcus radiodurans,1.1,0.127,0.126,68,1,178,207,207,29,95.2,Q9RS64,AF-Q9RS64-F1-model_v4,AF_AFQ9RS64F1
2C6Z,crystal structure of dimethylarginine dimethylaminohydrolase I in complex with citrulline,1.2,0.1215,NA,32,26,273,284,285,12,97.83,P56965,AF-P56965-F1-model_v4,AF_AFP56965F1
2C71,The structure of a family 4 acetyl xylan esterase from Clostridium thermocellum in complex with a magnesium ion.,1.05,0.125,0.124,44,15,205,216,683,478,92.43,O87119,AF-O87119-F1-model_v4,AF_AFO87119F1
2CC6,Complexes of Dodecin with Flavin and Flavin-like Ligands,1.27,0.208,0.207,23,52,64,68,68,4,96.92,B0R5M0,AF-B0R5M0-F1-model_v4,AF_AFB0R5M0F1
2CFE,"The 1.5 A crystal structure of the Malassezia sympodialis Mala s 6 allergen, a member of the cyclophilin pan-allergen family",1.5,0.143,0.143,14,32,162,162,162,0,98.09,O93970,AF-O93970-F1-model_v4,AF_AFO93970F1
2CG7,SECOND AND THIRD FIBRONECTIN TYPE I MODULE PAIR (CRYSTAL FORM II).,1.2,0.19,0.189,0,57,90,90,2477,2387,68.75,P02751,AF-P02751-F1-model_v4,AF_AFP02751F1
2CKK,High resolution crystal structure of the human kin17 C-terminal domain containing a kow motif,1.45,0.139,0.137,10,46,120,127,393,273,91.46,O60870,AF-O60870-F1-model_v4,AF_AFO60870F1
2CM2,Structure of Protein Tyrosine Phosphatase 1B (P212121),1.5,NA,0.198,35,23,284,304,435,151,97.41,P18031,AF-P18031-F1-model_v4,AF_AFP18031F1
2CWS,"Crystal structure at 1.0 A of alginate lyase A1-II', a member of polysaccharide lyase family-7",1,NA,0.103,8,50,227,237,308,81,98.38,Q75WP3,AF-Q75WP3-F1-model_v4,AF_AFQ75WP3F1
2CYJ,Crystal structure of conserved hypothetical protein PH1505 from Pyrococcus horikoshii OT3,1.5,NA,0.179,25,35,117,118,118,1,97.24,O59174,AF-O59174-F1-model_v4,AF_AFO59174F1
2DDX,"Crystal structure of beta-1,3-xylanase from Vibrio sp. AX-4",0.86,0.13988,0.13946,37,20,324,333,576,252,97.05,D5MP61,AF-D5MP61-F1-model_v4,AF_AFD5MP61F1
2DQ6,Crystal Structure of Aminopeptidase N from Escherichia coli,1.5,NA,0.181,45,22,865,870,870,5,96.88,P04825,AF-P04825-F1-model_v4,AF_AFP04825F1
2E54,Crystal structure of acetylornithine aminotransferase from Thermotoga maritima,1.5,0.196,0.196,38,20,385,385,385,0,98.12,Q9X2A5,AF-Q9X2A5-F1-model_v4,AF_AFQ9X2A5F1
2E7Z,Acetylene Hydratase from Pelobacter acetylenicus,1.26,0.16132,0.15953,37,17,727,727,730,3,95.57,Q71EW5,AF-Q71EW5-F1-model_v4,AF_AFQ71EW5F1
2EAQ,"Crystal structure of PDZ domain of KIAA0858 (LIM), MS0793 from Homo sapiens",1.46,0.16,0.16,20,43,89,90,1683,1594,86.81,Q8WWI1,AF-Q8WWI1-F1-model_v4,AF_AFQ8WWI1F1
2ERW,"Crystal Structure of Infestin 4, a factor XIIa inhibitor",1.4,0.1806,0.18014,19,17,53,56,222,169,85.61,Q95P16,AF-Q95P16-F1-model_v4,AF_AFQ95P16F1
2EWH,Carboxysome protein CsoS1A from Halothiobacillus neapolitanus,1.4,0.187,0.185,36,36,93,98,98,5,97.2,P45689,AF-P45689-F1-model_v4,AF_AFP45689F1
2F5V,Reaction geometry and thermostability mutant of pyranose 2-oxidase from the white-rot fungus Peniophora sp.,1.41,0.149,0.149,24,23,577,595,623,46,97.51,Q8J136,AF-Q8J136-F1-model_v4,AF_AFQ8J136F1
2FBA,Glucoamylase from Saccharomycopsis fibuligera at atomic resolution,1.1,0.14586,0.14504,51,8,492,492,519,27,98.45,P08017,AF-P08017-F1-model_v4,AF_AFP08017F1
2FDN,2[4FE-4S] FERREDOXIN FROM CLOSTRIDIUM ACIDI-URICI,0.94,0.1003,NA,13,22,55,55,56,1,97.07,P00198,AF-P00198-F1-model_v4,AF_AFP00198F1
2FGO,Structure of the 2[4FE-4S] ferredoxin from Pseudomonas aeruginosa,1.32,NA,NA,25,10,81,82,83,2,97.24,Q9I6D2,AF-Q9I6D2-F1-model_v4,AF_AFQ9I6D2F1
2FGQ,High resolution X-ray structure of Omp32 in complex with malate,1.45,0.149,0.149,4,58,330,332,351,21,98.62,P24305,AF-P24305-F1-model_v4,AF_AFP24305F1
2FI1,The crystal structure of a hydrolase from Streptococcus pneumoniae TIGR4,1.4,0.1578,0.15714,51,14,187,190,190,3,94.35,A0A0H2UPC8,AF-A0A0H2UPC8-F1-model_v4,AF_AFA0A0H2UPC8F1
2FMA,"Structure of the Alzheimer's Amyloid Precursor Protein (APP) Copper Binding Domain in 'small unit cell' form, atomic resolution",0.85,0.1305,0.1305,24,51,59,59,770,711,91.16,P05067,AF-P05067-F1-model_v4,AF_AFP05067F1
2FQ3,"Structure and function of the SWIRM domain, a conserved protein module found in chromatin regulatory complexes",1.4,0.207,0.207,54,0,85,104,825,740,93.98,P32591,AF-P32591-F1-model_v4,AF_AFP32591F1
2FRG,Structure of the immunoglobulin-like domain of human TLT-1,1.19,0.17711,0.17644,6,61,106,106,311,205,93.74,Q86YW5,AF-Q86YW5-F1-model_v4,AF_AFQ86YW5F1
2FVV,Human Diphosphoinositol polyphosphate phosphohydrolase 1,1.25,0.171,0.171,24,39,135,194,172,37,96.73,O95989,AF-O95989-F1-model_v4,AF_AFO95989F1
2FVY,High Resolution Glucose Bound Crystal Structure of GGBP,0.92,0.1179,0.11,45,20,305,309,332,27,98.02,P0AEE5,AF-P0AEE5-F1-model_v4,AF_AFP0AEE5F1
2FWF,high resolution crystal structure of the C-terminal domain of the electron transfer catalyst DsbD (reduced form),1.3,NA,0.17,39,17,123,134,565,442,88.38,P36655,AF-P36655-F1-model_v4,AF_AFP36655F1
2G29,crystal structure of the periplasmic nitrate-binding protein NrtA from Synechocystis PCC 6803,1.5,0.201,0.201,43,17,385,417,446,61,98.4,P73452,AF-P73452-F1-model_v4,AF_AFP73452F1
2G7O,"Protonation-mediated structural flexibility in the F conjugation regulatory protein, TraM",1.4,0.195,0.193,76,0,68,70,127,59,93.92,P10026,AF-P10026-F1-model_v4,AF_AFP10026F1
2GKE,Crystal structure of diaminopimelate epimerase in complex with an irreversible inhibitor LL-AziDAP,1.35,0.13906,0.13753,17,39,274,274,274,0,95.22,P44859,AF-P44859-F1-model_v4,AF_AFP44859F1
2GKR,Crystal structure of the N-terminally truncated OMTKY3-del(1-5),1.16,0.15027,0.14718,20,18,51,51,185,134,94.83,P68390,AF-P68390-F1-model_v4,AF_AFP68390F1
2GQT,Crystal Structure of UDP-N-Acetylenolpyruvylglucosamine Reductase (MurB) from Thermus caldophilus,1.3,0.18851,0.18736,28,27,267,268,265,2,97.57,Q5SJC8,AF-Q5SJC8-F1-model_v4,AF_AFQ5SJC8F1
2GQV,High-resolution structure of a plasmid-encoded dihydrofolate reductase: pentagonal network of water molecules in the D2-symmetric active site,1.1,0.105,0.099,5,44,59,62,78,19,97.45,P00383,AF-P00383-F1-model_v4,AF_AFP00383F1
2GXG,Crystal structure of EmrR homolog from hyperthermophilic archaea Sulfolobus tokodaii strain7,1.45,0.22333,0.22252,69,8,140,146,146,6,95.49,Q96ZY1,AF-Q96ZY1-F1-model_v4,AF_AFQ96ZY1F1
2GXQ,"HERA N-terminal domain in complex with AMP, crystal form 1",1.2,0.13726,0.13556000000000001,45,14,207,207,510,303,93.28,O07897,AF-O07897-F1-model_v4,AF_AFO07897F1
2HD9,Crystal structure of PH1033 from Pyrococcus horikoshii OT3,1.35,0.228,0.228,26,33,145,145,145,0,97.01,O58764,AF-O58764-F1-model_v4,AF_AFO58764F1
2HEW,The X-ray crystal structure of murine OX40L,1.45,0.16765,0.16505,5,52,128,152,198,70,93.35,P43488,AF-P43488-F1-model_v4,AF_AFP43488F1
2HLQ,Crystal Structure of the Extracellular Domain of the Type II BMP Receptor,1.45,0.1923,0.19017,10,36,100,100,1038,938,77.02,Q13873,AF-Q13873-F1-model_v4,AF_AFQ13873F1
2HYK,"The crystal structure of an endo-beta-1,3-glucanase from alkaliphilic Nocardiopsis sp.strain F96",1.3,0.144,0.143,3,45,237,245,270,33,98.68,Q2V0H0,AF-Q2V0H0-F1-model_v4,AF_AFQ2V0H0F1
2I53,Crystal structure of Cyclin K,1.5,0.185,0.183,63,1,254,258,580,326,93.62,O75909,AF-O75909-F1-model_v4,AF_AFO75909F1
2IBA,Urate oxidase from Aspergillus flavus complexed with its inhibitor 8-azaxanthine,1.5,0.177,0.176,28,39,295,302,302,7,97.53,Q00511,AF-Q00511-F1-model_v4,AF_AFQ00511F1
2ICC,Extracellular Domain of CRIg,1.2,0.135,0.134,5,50,119,119,399,280,95.01,Q9Y279,AF-Q9Y279-F1-model_v4,AF_AFQ9Y279F1
2II2,Crystal Structure of Alpha-11 Giardin,1.1,0.196,0.195,72,0,304,310,307,3,94.78,Q4VPP2,AF-Q4VPP2-F1-model_v4,AF_AFQ4VPP2F1
2IQY,Rat Phosphatidylethanolamine-Binding Protein,1.4,0.15321,0.14879,15,27,190,190,187,3,97.45,P31044,AF-P31044-F1-model_v4,AF_AFP31044F1
2IYS,"Shikimate kinase from Mycobacterium tuberculosis in complex with shikimate, open LID (conf. A)",1.4,0.178,0.176,55,11,175,184,176,1,92.18,P9WPY3,AF-P9WPY3-F1-model_v4,AF_AFP9WPY3F1
2IZA,APOSTREPTAVIDIN PH 2.00 I4122 STRUCTURE,1.46,0.21,0.21,7,56,121,121,183,62,94.57,P22629,AF-P22629-F1-model_v4,AF_AFP22629F1
2J8B,High resolution structure of human CD59,1.15,0.165,0.164,18,32,78,79,128,50,92.18,P13987,AF-P13987-F1-model_v4,AF_AFP13987F1
2JCP,The hyaluronan binding domain of murine CD44,1.3,0.158,0.157,17,37,150,154,778,628,96.59,P15379,AF-P15379-F1-model_v4,AF_AFP15379F1
2JEK,Crystal structure of the conserved hypothetical protein Rv1873 from Mycobacterium tuberculosis at 1.38 A,1.38,0.169,0.167,61,1,140,145,145,5,97.78,O07756,AF-O07756-F1-model_v4,AF_AFO07756F1
2JG2,HIGH RESOLUTION STRUCTURE OF SPT WITH PLP INTERNAL ALDIMINE,1.3,0.155,0.153,42,19,399,422,420,21,97.6,Q93UV0,AF-Q93UV0-F1-model_v4,AF_AFQ93UV0F1
2JKU,Crystal structure of the N-terminal region of the biotin acceptor domain of human propionyl-CoA carboxylase,1.5,0.149,0.148,0,26,35,94,728,693,87.17,P05165,AF-P05165-F1-model_v4,AF_AFP05165F1
2LIS,HIGH RESOLUTION STRUCTURE OF THE RED ABALONE LYSIN MONOMER,1.35,0.1358,NA,72,0,131,136,154,23,92.04,P04552,AF-P04552-F1-model_v4,AF_AFP04552F1
2MHR,STRUCTURE OF MYOHEMERYTHRIN IN THE AZIDOMET STATE AT 1.7(SLASH)1.3 ANGSTROMS RESOLUTION,1.3,0.158,NA,70,0,118,118,118,0,98.45,P02247,AF-P02247-F1-model_v4,AF_AFP02247F1
2O90,Atomic resolution crystal structure of E.coli dihydroneopterin aldolase in complex with neopterin,1.07,0.1299,0.1299,36,34,115,122,122,7,97.48,P0AC16,AF-P0AC16-F1-model_v4,AF_AFP0AC16F1
2O9U,Monellin (MNEI) at 1.15 resolution,1.15,0.133,0.131,18,48,96,97,50,46,97.79,P02882,AF-P02882-F1-model_v4,AF_AFP02882F1
2OKT,"Crystal structure of O-succinylbenzoic acid synthetase from Staphylococcus aureus, ligand-free form",1.3,0.139,0.138,34,25,342,342,333,9,97.46,A0A0H2WWB5,AF-A0A0H2WWB5-F1-model_v4,AF_AFA0A0H2WWB5F1
2OLN,"NikD, an unusual amino acid oxidase essential for nikkomycin biosynthesis: closed form at 1.15 A resolution",1.15,0.1226,NA,30,29,385,397,389,4,97.29,Q9X9P9,AF-Q9X9P9-F1-model_v4,AF_AFQ9X9P9F1
2OPC,"Structure of Melampsora lini avirulence protein, AvrL567-A",1.43,0.19825,0.19689,3,37,115,127,150,35,94.62,Q6R661,AF-Q6R661-F1-model_v4,AF_AFQ6R661F1
2P14,Crystal structure of small subunit (R.BspD6I2) of the heterodimeric restriction endonuclease R.BspD6I,1.5,0.179,0.177,48,17,186,192,186,0,93.05,A3FEV8,AF-A3FEV8-F1-model_v4,AF_AFA3FEV8F1
2P51,Crystal structure of the S. pombe Pop2p deadenylation subunit,1.4,0.141,0.139,44,13,255,333,335,80,96.04,O74856,AF-O74856-F1-model_v4,AF_AFO74856F1
2P52,mouse p53 DNA-binding domain in zinc-free oxidized state,1.5,0.211,0.211,14,34,196,196,390,194,94.08,P02340,AF-P02340-F1-model_v4,AF_AFP02340F1
2PMR,Crystal structure of a protein of unknown function from Methanobacterium thermoautotrophicum,1.32,0.17545,0.17459,80,0,76,87,77,1,96.83,O27725,AF-O27725-F1-model_v4,AF_AFO27725F1
2PNE,Crystal Structure of the Snow Flea Antifreeze Protein,0.98,0.141,0.14,0,5,81,81,103,22,97.42,Q38PT6,AF-Q38PT6-F1-model_v4,AF_AFQ38PT6F1
2PPN,Crystal structure of FKBP12,0.92,0.209,0.1685,13,40,107,107,108,1,96.67,P62942,AF-P62942-F1-model_v4,AF_AFP62942F1
2PTH,PEPTIDYL-TRNA HYDROLASE FROM ESCHERICHIA COLI,1.2,0.196,0.196,45,21,193,193,194,1,97.73,P0A7D1,AF-P0A7D1-F1-model_v4,AF_AFP0A7D1F1
2Q9T,High-resolution structure of the DING protein from Pseudomonas fluorescens,1.43,0.133,0.131,32,17,374,379,379,5,97.37,D0VWY2,AF-D0VWY2-F1-model_v4,AF_AFD0VWY2F1
2QED,Crystal structure of Salmonella thyphimurium LT2 glyoxalase II,1.45,0.157,0.153,39,25,252,258,251,1,98.29,Q8ZRM2,AF-Q8ZRM2-F1-model_v4,AF_AFQ8ZRM2F1
2QES,Crystal structure of the ribosome inactivating protein PDL4 from P. dioica leaves in complex with adenine,1.24,NA,0.116,39,23,261,261,261,0,97.94,P84854,AF-P84854-F1-model_v4,AF_AFP84854F1
2QIM,Crystal Structure of Pathogenesis-related Protein LlPR-10.2B from yellow lupine in complex with Cytokinin,1.35,0.14843,0.14725,29,45,157,158,158,1,94.77,Q9LLQ2,AF-Q9LLQ2-F1-model_v4,AF_AFQ9LLQ2F1
2QJL,Crystal structure of Urm1,1.44,0.16771,0.16614,29,33,99,99,99,0,95.01,P40554,AF-P40554-F1-model_v4,AF_AFP40554F1
2QSK,Atomic-resolution crystal structure of the Recombinant form of Scytovirin,1,0.129,0.128,13,13,95,95,95,0,90.24,P86041,AF-P86041-F1-model_v4,AF_AFP86041F1
2R6Q,Crystal Structure of BclA-island Construct,1.43,0.13,0.13,0,58,138,138,382,244,95.45,Q81JD7,AF-Q81JD7-F1-model_v4,AF_AFQ81JD7F1
2R75,Aquifex aeolicus FtsZ with 8-morpholino-GTP,1.402,0.13936,0.13694,43,26,323,338,367,44,92.58,O66809,AF-O66809-F1-model_v4,AF_AFO66809F1
2RDN,Crystal Structure of PtlH with AKG and ent-1PL bound,1.35,0.173,0.172,29,23,275,288,285,10,93.39,Q82IZ1,AF-Q82IZ1-F1-model_v4,AF_AFQ82IZ1F1
2RK5,Crystal structure of a domain of the putative hemolysin from Streptococcus mutans UA159,1.5,0.18182,0.17887,20,44,86,87,445,359,88.24,O68574,AF-O68574-F1-model_v4,AF_AFO68574F1
2UUX,Structure of the tryptase inhibitor TdPI from a tick,1.4,0.171,0.168,9,24,55,55,118,63,81.24,Q1EG59,AF-Q1EG59-F1-model_v4,AF_AFQ1EG59F1
2V4V,Crystal Structure of a Family 6 Carbohydrate-Binding Module from Clostridium cellulolyticum in complex with xylose,1.5,0.192,0.19,2,60,129,129,1122,993,93.33,Q0PRN1,AF-Q0PRN1-F1-model_v4,AF_AFQ0PRN1F1
2V8I,Structure of a Family 2 Pectate Lyase in a Native Form,1.5,0.223,0.222,44,14,543,543,572,29,98.1,A1JSS8,AF-A1JSS8-F1-model_v4,AF_AFA1JSS8F1
2V9V,Crystal Structure of Moorella thermoacetica SelB(377-511),1.1,0.121,0.12,55,17,135,135,634,499,89.14,Q46455,AF-Q46455-F1-model_v4,AF_AFQ46455F1
2VC8,Crystal structure of the LSm domain of human EDC3 (enhancer of decapping 3),1.31,0.198,0.196,4,51,72,84,508,436,87.06,Q96F86,AF-Q96F86-F1-model_v4,AF_AFQ96F86F1
2VEZ,AfGNA1 crystal structure complexed with Acetyl-CoA and Glucose-6P gives new insights into catalysis,1.45,0.169,0.168,39,21,165,190,190,25,97.5,Q4WCU5,AF-Q4WCU5-F1-model_v4,AF_AFQ4WCU5F1
